Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,"$100,000,000","$55,675,313","$139,716,717",7.0,"69,861",Animation Action Adventure Family Fantasy,http://www.imdb.com/title/tt1219342/,Zack Snyder,Zareh Nalbandian,NA,"Helen Mirren
Geoffrey Rush
Jim Sturgess
Hugo Weaving
Emily Barclay
Abbie Cornish
Ryan Kwanten
Anthony LaPaglia
Miriam Margolyes
Sam Neill
Richard Roxburgh
David Wenham",David Hirschfelder,NA,David Burrows,"Village Roadshow Pictures
Animal Logic
Cruel and Unusual Films",Warner Bros. Pictures,"September 24, 2010 (2010-09-24) (North America)
September 30, 2010 (2010-09-30) (Australia)",96 minutes,"United States[2]
Australia[2]",English,$80 million[3],$140.1 million[4],https://en.wikipedia.org/wiki/Legend_of_the_Guardians:_The_Owls_of_Ga%27Hoole,//upload.wikimedia.org/wikipedia/en/thumb/c/c7/Legend_of_the_Guardians_film_poster.jpg/220px-Legend_of_the_Guardians_film_poster.jpg,"John Orloff
Emil Stern[1]",NA,"Guardians of Ga'Hoole
by Kathryn Lasky",NA
12/17/2004,Lemony Snicket's A Series of Unfortunate Events,"$100,000,000","$118,627,117","$212,956,024",6.8,"173,050",Adventure Comedy Family Fantasy,http://www.imdb.com/title/tt0339291/,Brad Silberling,"Laurie MacDonald
Walter Parkes
Jim Van Wyck",NA,"Jim Carrey
Liam Aiken
Emily Browning
Timothy Spall
Catherine O'Hara
Billy Connolly
Cedric the Entertainer
Luis Guzmán
Jennifer Coolidge
Meryl Streep",Thomas Newman,Emmanuel Lubezki,Michael Kahn,"Nickelodeon Movies
Parkes/MacDonald Productions","Paramount Pictures(North America)
DreamWorks Pictures (International)","December 17, 2004",107 minutes,United States,English,$140 million[1],$209.1 million[1],https://en.wikipedia.org/wiki/Lemony_Snicket%27s_A_Series_of_Unfortunate_Events,//upload.wikimedia.org/wikipedia/en/thumb/c/cb/A_Series_Of_Unfortunate_Events_poster.jpg/220px-A_Series_Of_Unfortunate_Events_poster.jpg,Robert Gordon,NA,"A Series of Unfortunate Events
by Lemony Snicket",NA
7/10/1998,Lethal Weapon 4,"$140,000,000","$130,444,603","$285,400,000",6.6,"135,497",Action Crime Thriller,http://www.imdb.com/title/tt0122151/,Richard Donner,"Richard Donner
Joel Silver",NA,"Mel Gibson
Danny Glover
Joe Pesci
Rene Russo
Chris Rock
Jet Li","Michael Kamen
Eric Clapton
David Sanborn",Andrzej Bartkowiak,"Frank J. Urioste
Dallas Puett","Silver Pictures
Doshudo Productions",Warner Bros. Pictures,"July 10, 1998 (1998-07-10)",127 minutes,United States,English,$100–150 million[1],$285.4 million[2],https://en.wikipedia.org/wiki/Lethal_Weapon_4,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Lethal_Weapon_4_Poster.jpg/220px-Lethal_Weapon_4_Poster.jpg,Channing Gibson,"Jonathan Lemkin
Alfred Gough
Miles Millar","Characters
by Shane Black",NA
4/16/1999,Life,"$75,000,000","$64,062,587","$73,521,587",6.7,"36,432",Comedy Crime Drama,http://www.imdb.com/title/tt0123964/,Ted Demme,Brian GrazerEddie Murphy,NA,"Eddie Murphy
Martin Lawrence",R. KellyWyclef Jean,Geoffrey Simpson,Jeffrey Wolf,Imagine Entertainment,Universal Pictures,"April 16, 1999 (1999-04-16)",109 minutes,United States,English,$80 million,"$73,345,029",https://en.wikipedia.org/wiki/Life_(1999_film),//upload.wikimedia.org/wikipedia/en/thumb/3/38/Life_dvd_movie_cover.jpg/220px-Life_dvd_movie_cover.jpg,"Robert Ramsey
Matthew Sto",Eddie Murphy,NA,NA
11/21/2012,Life of Pi,"$120,000,000","$124,987,022","$607,987,022",7.9,"485,524",Adventure Drama Fantasy,http://www.imdb.com/title/tt0454876/,Ang Lee,"Gil Netter
Ang Lee
David Womark",NA,"Suraj Sharma
Irrfan Khan
Tabu
Adil Hussain
Rafe Spall
Gérard Depardieu",Mychael Danna,Claudio Miranda,Tim Squyres,"Fox 2000 Pictures
Dune Entertainment
Ingenious Media
Haishang Films[1]",20th Century Fox,"September 28, 2012 (2012-09-28) (NYFF)
November 21, 2012 (2012-11-21) (United States)",127 minutes[2],United States[3][4][5][6][7],EnglishTamilFrench,$120 million[8],$609 million[8],https://en.wikipedia.org/wiki/Life_of_Pi_(film),//upload.wikimedia.org/wikipedia/en/5/57/Life_of_Pi_2012_Poster.jpg,David Magee,NA,"Life of Pi
by Yann Martel",NA
6/21/2002,Lilo & Stitch,"$80,000,000","$145,771,527","$245,800,000",7.2,"132,174",Animation Adventure Comedy Drama Family Fantasy Sci-Fi,http://www.imdb.com/title/tt0275847/,"Chris Sanders
Dean DeBlois",Clark Spencer,"Chris Sanders
Dean DeBlois","Chris Sanders
Daveigh Chase
Tia Carrere
David Ogden Stiers
Kevin McDonald
Ving Rhames
Kevin Michael Richardson
Jason Scott Lee
Zoe Caldwell",Alan Silvestri,NA,Darren T. Holmes,Walt Disney PicturesWalt Disney Feature Animation,Buena Vista Pictures,"June 21, 2002 (2002-06-21)",85 minutes,United States,English,$80 million[1],$273.1 million[1],https://en.wikipedia.org/wiki/Lilo_%26_Stitch,//upload.wikimedia.org/wikipedia/en/thumb/c/c6/LiloandStitchmovieposter.jpg/220px-LiloandStitchmovieposter.jpg,NA,Chris Sanders,NA,NA
12/22/2010,Little Fockers,"$100,000,000","$148,438,600","$310,650,574",5.5,"92,055",Comedy Romance,http://www.imdb.com/title/tt0970866/,Paul Weitz,Jane RosenthalRobert De NiroJay RoachJohn Hamburg,"John Hamburg
Larry Stuckey",Robert De NiroBen StillerOwen WilsonBlythe DannerTeri PoloJessica AlbaLaura DernHarvey KeitelDustin HoffmanBarbra Streisand,Stephen Trask,Remi Adefarasin,"Greg HaydenLeslie Jones
Myron I. Kerstein","DW StudiosRelativity MediaTriBeCa Productions
Everyman Pictures",Universal Pictures (North America)Paramount Pictures (International),"December 22, 2010 (2010-12-22)",98 minutes,United States,English,$100 million,$310.7 million[1],https://en.wikipedia.org/wiki/Little_Fockers,//upload.wikimedia.org/wikipedia/en/thumb/f/fc/Little_fockers_poster.jpg/220px-Little_fockers_poster.jpg,NA,NA,"Characters
by Greg Glienna
Mary Ruth Clarke",NA
11/10/2000,Little Nicky,"$80,000,000","$39,442,871","$58,270,391",5.3,"85,787",Comedy Fantasy,http://www.imdb.com/title/tt0185431/,Steven Brill,Jack GiarraputoRobert Simonds,Steven BrillAdam SandlerTim Herlihy,"Adam Sandler
Patricia Arquette
Harvey Keitel
Rhys Ifans
Tommy ""Tiny"" Lister Jr.
Rodney Dangerfield",Teddy Castellucci,Theo van de Sande,Jeff Gourson,The Robert Simonds CompanyHappy Madison Productions,New Line Cinema,"November 10, 2000 (2000-11-10)",90 minutes,NA,English,$85 million,$58.3 million,https://en.wikipedia.org/wiki/Little_Nicky,//upload.wikimedia.org/wikipedia/en/thumb/5/53/Little_nicky.jpg/220px-Little_nicky.jpg,NA,NA,NA,NA
6/27/2007,Live Free or Die Hard,"$110,000,000","$134,529,403","$382,288,147",7.2,"353,306",Action Adventure Thriller,http://www.imdb.com/title/tt0337978/,Len Wiseman,Michael Fottrell,NA,"Bruce Willis
Justin Long
Timothy Olyphant
Mary Elizabeth Winstead
Maggie Q
Kevin Smith",Marco Beltrami,Simon Duggan,Nicolas De Toth,"Cheyenne Enterprises
Dune Entertainment
Ingenious Film Partners",20th Century Fox,"June 12, 2007 (2007-06-12) (Tokyo)
June 27, 2007 (2007-06-27) (United States)",129 minutes,United States,English,$110 million[1],$383.5 million[1],https://en.wikipedia.org/wiki/Live_Free_or_Die_Hard,//upload.wikimedia.org/wikipedia/en/thumb/4/46/Live_Free_or_Die_Hard.jpg/220px-Live_Free_or_Die_Hard.jpg,Mark Bomback,"Mark Bomback
David Marconi","""A Farewell to Arms""
by John Carlin
Characters
by Roderick Thorp",NA
3/3/2017,Logan,"$127,000,000","$226,277,068","$615,577,068",8.2,"400,074",Action Drama Sci-Fi Thriller,http://www.imdb.com/title/tt3315342/,James Mangold,"Hutch Parker
Simon Kinberg
Lauren Shuler Donner",NA,"Hugh Jackman
Patrick Stewart
Boyd Holbrook
Stephen Merchant
Richard E. Grant
Dafne Keen",Marco Beltrami,John Mathieson,"Michael McCusker
Dirk Westervelt",NA,20th Century Fox,"February 17, 2017 (2017-02-17) (Berlin)
March 3, 2017 (2017-03-03) (United States)",137 minutes[1],United States,English,$97 million[2],$616.8 million[2],https://en.wikipedia.org/wiki/Logan_(film),//upload.wikimedia.org/wikipedia/en/3/37/Logan_2017_poster.jpg,"Scott Frank
James Mangold
Michael Green",James Mangold,"Wolverine
by Roy ThomasLen WeinJohn Romita Sr.","Marvel Entertainment
TSG Entertainment
Kinberg Genre
Hutch Parker Productions
The Donners' Company"
11/14/2003,Looney Tunes: Back in Action,"$80,000,000","$20,950,820","$54,540,662",5.7,"26,996",Animation Action Adventure Comedy Family Fantasy Sci-Fi,http://www.imdb.com/title/tt0318155/,Joe Dante[1],"Paula Weinstein
Bernie Goldman",NA,"Brendan Fraser
Jenna Elfman
Steve Martin
Timothy Dalton
Joan Cusack
Heather Locklear",Jerry Goldsmith,Dean Cundey,"Rick Finney
Marshall Harvey","Baltimore Spring Creek Productions
Goldmann Pictures
Lonely Film Productions GmbH & Co. KG.
Warner Bros. Feature Animation",Warner Bros. Pictures,"November 9, 2003 (2003-11-09) (premiere)
November 14, 2003 (2003-11-14) (United States)",93 minutes[2],United States,English,$80 million[2],$68.5 million[2],https://en.wikipedia.org/wiki/Looney_Tunes:_Back_in_Action,//upload.wikimedia.org/wikipedia/en/thumb/7/7c/Movie_poster_looney_tunes_back_in_action.JPG/220px-Movie_poster_looney_tunes_back_in_action.JPG,Larry Doyle,Larry DoyleGlenn FicarraJohn Requa,NA,NA
4/3/1998,Lost In Space,"$80,000,000","$69,117,629","$136,047,317",5.1,"61,561",Action Adventure Family Sci-Fi Thriller,http://www.imdb.com/title/tt0120738/,Stephen Hopkins,"Mark W. Koch
Stephen HopkinsAkiva Goldsman
Carla Fry",Akiva Goldsman,"Gary Oldman
William Hurt
Matt LeBlanc
Mimi Rogers
Heather Graham
Lacey Chabert
Jack Johnson
Jared Harris",Bruce Broughton,Peter Levy,Ray Lovejoy,"New Line Cinema
Saltire Entertainment",New Line Cinema,"April 3, 1998 (1998-04-03)",130 minutes[1],United States,English,$80 million,$136.2 million,https://en.wikipedia.org/wiki/Lost_in_Space_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/d/d0/Lost_in_space_movie_poster.jpg/220px-Lost_in_space_movie_poster.jpg,NA,NA,"Lost in Space
by Irwin Allen",NA
5/15/2015,Mad Max: Fury Road,"$150,000,000","$153,636,354","$370,742,166",8.1,"668,033",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt1392190/,George Miller,"Doug Mitchell
George Miller
PJ Voeten","George Miller
Brendan McCarthy
Nico Lathouris","Tom Hardy
Charlize Theron
Nicholas Hoult
Hugh Keays-Byrne
Rosie Huntington-Whiteley
Riley Keough
Zoë Kravitz
Abbey Lee
Courtney Eaton",Junkie XL,John Seale,Margaret Sixel,"Village Roadshow Pictures
Kennedy Miller Mitchell
RatPac-Dune Entertainment","Warner Bros. Pictures (United States/International)
Roadshow Films (Australia)","7 May 2015 (2015-05-07) (TCL Chinese Theatre)
14 May 2015 (2015-05-14) (Australia)
15 May 2015 (2015-05-15) (United States)",120 minutes[1],"Australia[2]
United States[2][3]",English,$150 million[4][5],$378.9 million[6],https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road,//upload.wikimedia.org/wikipedia/en/thumb/6/6e/Mad_Max_Fury_Road.jpg/220px-Mad_Max_Fury_Road.jpg,NA,NA,NA,NA
5/27/2005,Madagascar,"$75,000,000","$193,595,521","$556,559,566",6.9,"296,046",Animation Adventure Comedy Family,http://www.imdb.com/title/tt0351283/,"Eric Darnell
Tom McGrath",Mireille Soria,"Mark Burton
Billy Frolick
Eric Darnell
Tom McGrath","Ben Stiller
Chris Rock
David Schwimmer
Jada Pinkett Smith",Hans Zimmer,NA,"Clare De Chenu
Mark A. Hester
H. Lee Peterson",DreamWorks AnimationPDI/DreamWorks,DreamWorks Pictures1,"May 25, 2005 (2005-05-25) (Philippines)
May 27, 2005 (2005-05-27) (United States)",86 minutes,United States,English,$75 million[1],$532.7 million,https://en.wikipedia.org/wiki/Madagascar_(2005_film),//upload.wikimedia.org/wikipedia/en/thumb/3/36/Madagascar_Theatrical_Poster.jpg/220px-Madagascar_Theatrical_Poster.jpg,NA,Tom McGrathEric Darnell,NA,NA
6/8/2012,Madagascar 3: Europe's Most Wanted,"$145,000,000","$216,391,482","$746,921,271",6.9,"131,088",Animation Adventure Comedy Family,http://www.imdb.com/title/tt1277953/,Eric DarnellConrad Vernon[1]Tom McGrath[2],"Mireille Soria
Mark Swift",Eric DarnellNoah Baumbach,Ben StillerChris RockDavid SchwimmerJada Pinkett SmithSacha Baron CohenCedric the EntertainerAndy RichterJessica ChastainBryan CranstonFrances McDormand,Hans Zimmer,NA,Nick Fletcher,DreamWorks AnimationPacific Data Images,Paramount Pictures1,"May 18, 2012 (2012-05-18) (Cannes Film Festival)
June 8, 2012 (2012-06-08) (United States)",93 minutes,United States,English,$145 million[3],$746.9 million[4],https://en.wikipedia.org/wiki/Madagascar_3:_Europe%27s_Most_Wanted,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/Madagascar3-Poster.jpg/220px-Madagascar3-Poster.jpg,NA,NA,NA,NA
11/7/2008,Madagascar: Escape 2 Africa,"$150,000,000","$180,010,950","$599,516,844",6.7,"163,007",Animation Action Adventure Comedy Family,http://www.imdb.com/title/tt0479952/,Eric DarnellTom McGrath,"Mireille Soria
Mark Swift","Etan Cohen
Eric Darnell
Tom McGrath",Ben StillerChris RockDavid SchwimmerJada Pinkett SmithSacha Baron CohenCedric the EntertainerAndy RichterBernie MacAlec BaldwinSherri Shepherdwill.i.am,"Hans Zimmer
will.i.am",NA,Mark A. Hester,DreamWorks AnimationPacific Data Images,Paramount Pictures1,"November 7, 2008 (2008-11-07)",89 minutes,United States,English,$150 million,$603.9 million[1],https://en.wikipedia.org/wiki/Madagascar:_Escape_2_Africa,//upload.wikimedia.org/wikipedia/en/thumb/7/7f/Madagascar2poster.jpg/220px-Madagascar2poster.jpg,NA,NA,NA,NA
5/30/2014,Maleficent,"$180,000,000","$241,407,328","$758,536,735",7.0,"276,614",Action Adventure Family Fantasy Romance,http://www.imdb.com/title/tt1587310/,Robert Stromberg,Joe Roth,NA,"Angelina Jolie
Sharlto Copley
Elle Fanning
Sam Riley
Imelda Staunton
Juno Temple
Lesley Manville",James Newton Howard,Dean Semler,"Chris Lebenzon
Richard Pearson","Walt Disney Pictures
Roth Films",Walt Disney Studios Motion Pictures,"May 28, 2014 (2014-05-28) (United Kingdom)
May 30, 2014 (2014-05-30) (United States)",97 minutes[1],United States,English,est. $180-$263 million[2],$758.5 million[3],https://en.wikipedia.org/wiki/Maleficent_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/5/55/Maleficent_poster.jpg/220px-Maleficent_poster.jpg,Linda Woolverton,NA,"Disney's Sleeping Beauty
La Belle au bois dormant by Charles Perrault",NA
6/14/2013,Man of Steel,"$225,000,000","$291,045,518","$667,999,518",7.1,"593,056",Action Adventure Fantasy Sci-Fi,http://www.imdb.com/title/tt0770828/,Zack Snyder,"Charles Roven
Christopher Nolan
Emma Thomas
Deborah Snyder",NA,"Henry Cavill
Amy Adams
Michael Shannon
Kevin Costner
Diane Lane
Laurence Fishburne
Antje Traue
Ayelet Zurer
Christopher Meloni
Russell Crowe",Hans Zimmer,Amir Mokri,David Brenner,NA,Warner Bros. Pictures,"June 10, 2013 (2013-06-10) (Alice Tully Hall)
June 14, 2013 (2013-06-14) (United Kingdom & United States)",143 minutes[1],"United Kingdom[2]
United States[2]",English,$225 million[3],$668 million[3],https://en.wikipedia.org/wiki/Man_of_Steel_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/8/85/ManofSteelFinalPoster.jpg/220px-ManofSteelFinalPoster.jpg,David S. Goyer,"David S. Goyer
Christopher Nolan","Characters appearing in comic books published
by DC Entertainment","Legendary Pictures
DC Entertainment
Syncopy
Cruel and Unusual Films"
12/13/1996,Mars Attacks!,"$80,000,000","$37,771,017","$101,371,017",6.3,"184,078",Comedy Sci-Fi,http://www.imdb.com/title/tt0116996/,Tim Burton,"Tim Burton
Larry J. Franco",Jonathan Gems,"Jack Nicholson
Glenn Close
Annette Bening
Pierce Brosnan
Danny DeVito
Martin Short
Sarah Jessica Parker
Michael J. Fox
Rod Steiger
Tom Jones
Lukas Haas
Natalie Portman
Jim Brown
Lisa Marie
Sylvia Sidney",Danny Elfman,Peter Suschitzky,Chris Lebenzon,"Tim Burton Productions
Warner Bros.",Warner Bros.,"December 13, 1996 (1996-12-13) (United States)",106 minutes,United States,English,$70 million,$101.4 million,https://en.wikipedia.org/wiki/Mars_Attacks!,//upload.wikimedia.org/wikipedia/en/thumb/b/bd/Mars_attacks_ver1.jpg/220px-Mars_attacks_ver1.jpg,NA,NA,"Mars Attacks
by Topps",NA
3/11/2011,Mars Needs Moms,"$150,000,000","$21,392,758","$39,549,758",5.4,"18,673",Animation Adventure Family Sci-Fi,http://www.imdb.com/title/tt1305591/,Simon Wells,"Robert Zemeckis
Jack Rapke
Steve Starkey
Steven Boyd",NA,"Seth Green
Dan Fogler
Elisabeth Harnois
Mindy Sterling
Joan Cusack",John Powell,Robert Presley,Wayne Wahrman,Walt Disney PicturesImageMovers Digital,"Walt Disney Studios
Motion Pictures","March 11, 2011 (2011-03-11)",88 minutes[1],United States,English,$150 million[1][2],$39 million[1],https://en.wikipedia.org/wiki/Mars_Needs_Moms,//upload.wikimedia.org/wikipedia/en/thumb/0/08/Mars_Needs_Moms%21_Poster.jpg/220px-Mars_Needs_Moms%21_Poster.jpg,"Simon Wells
Wendy Wells",NA,"Mars Needs Moms!
by Berkeley Breathed",NA
11/14/2003,Master and Commander: The Far Side of the World,"$135,000,000","$93,926,386","$212,912,137",7.4,"178,711",Action Adventure Drama History War,http://www.imdb.com/title/tt0311113/,Peter Weir,"Samuel Goldwyn, Jr.
Duncan Henderson
Peter Weir",NA,"Russell Crowe
Paul Bettany
Billy Boyd
James D'Arcy
Chris Larkin
Edward Woodall","Iva Davies
Christopher Gordon
Richard Tognetti",Russell Boyd,Lee Smith,NA,"20th Century Fox[note 1](North America)
Universal Pictures(International)","November 14, 2003 (2003-11-14)",138 minutes[2],United States,English,$150 million[3],$212 million[3],https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World,//upload.wikimedia.org/wikipedia/en/thumb/b/bf/Master_and_Commander-The_Far_Side_of_the_World_poster.png/220px-Master_and_Commander-The_Far_Side_of_the_World_poster.png,"Peter Weir
John Collee",NA,"Master and Commander
by Patrick O'Brian","Miramax Films
Samuel Goldwyn Films"
11/13/1998,Meet Joe Black,"$85,000,000","$44,650,003","$44,650,003",7.2,"181,463",Drama Fantasy Romance,http://www.imdb.com/title/tt0119643/,Martin Brest,Martin Brest,"Bo Goldman
Kevin Wade
Ron Osborn
Jeff Reno","Brad Pitt
Anthony Hopkins
Claire Forlani
Jake Weber
Marcia Gay Harden
Jeffrey Tambor",Thomas Newman,Emmanuel Lubezki,"Joe Hutshing
Michael Tronick",City Light Films,Universal Pictures,"November 13, 1998 (1998-11-13)","181 minutes (original)
129 minutes (Alan Smithee cut)",United States,English,$90 million,$142.9 million,https://en.wikipedia.org/wiki/Meet_Joe_Black,//upload.wikimedia.org/wikipedia/en/thumb/f/f5/Meet_Joe_Black-_1998.jpg/220px-Meet_Joe_Black-_1998.jpg,NA,NA,NA,NA
11/5/2010,Megamind,"$130,000,000","$148,415,853","$321,887,208",7.3,"189,073",Animation Action Comedy Family Sci-Fi,http://www.imdb.com/title/tt1001526/,Tom McGrath,"Lara Breay
Denise Nolan Cascino","Alan J. Schoolcraft
Brent Simons","Will Ferrell
Tina Fey
Jonah Hill
David Cross
Brad Pitt","Hans Zimmer
Lorne Balfe",NA,Michael Andrews,"DreamWorks Animation
Pacific Data Images",Paramount Pictures[1],"October 28, 2010 (2010-10-28) (Russia)
November 5, 2010 (2010-11-05) (United States)",96 minutes[2],United States,English,$130 million[3],$321.9 million[3],https://en.wikipedia.org/wiki/Megamind,//upload.wikimedia.org/wikipedia/en/thumb/8/89/Megamind2010Poster.jpg/220px-Megamind2010Poster.jpg,NA,NA,NA,NA
12/9/2005,Memoirs of a Geisha,"$85,000,000","$57,010,853","$161,510,853",7.4,"125,152",Drama Romance,http://www.imdb.com/title/tt0397535/,Rob Marshall,"Lucy Fisher
Steven Spielberg
Douglas Wick",NA,"Zhang Ziyi
Ken Watanabe
Gong Li
Michelle Yeoh
Youki Kudoh
Suzuka Ohgo
Samantha Futerman",John Williams,Dion Beebe,Pietro Scalia,NA,Columbia PicturesHung Bun Film Production Co.,"November 29, 2005 (2005-11-29) (Tokyo premiere)
December 9, 2005 (2005-12-09) (United States)",145 minutes[1],United States,"English
Japanese",$85 million,$162.2 million,https://en.wikipedia.org/wiki/Memoirs_of_a_Geisha_(film),//upload.wikimedia.org/wikipedia/en/thumb/0/09/Memoirs_of_a_Geisha_Poster.jpg/220px-Memoirs_of_a_Geisha_Poster.jpg,Robin Swicord,NA,"Memoirs of a Geisha
by Arthur Golden","DreamWorks Pictures
Spyglass Entertainment
Amblin Entertainment
Red Wagon Entertainment
StudioCanal"
7/1/1997,Men in Black,"$90,000,000","$250,690,539","$587,790,539",7.3,"440,753",Adventure Comedy Family Mystery Sci-Fi,http://www.imdb.com/title/tt0119654/,Barry Sonnenfeld,Walter F. ParkesLaurie MacDonald,Ed Solomon,"Tommy Lee Jones
Will Smith
Linda Fiorentino
Vincent D'Onofrio",Danny Elfman,Don Peterman,Jim Miller,"Amblin Entertainment
Parkes/MacDonald Productions",Columbia Pictures,"July 2, 1997 (1997-07-02)",98 minutes,United States,English,$90 million[1],$589.4 million[1],https://en.wikipedia.org/wiki/Men_in_Black_(1997_film),//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Men_in_Black_Poster.jpg/220px-Men_in_Black_Poster.jpg,NA,NA,"The Men in Black
by Lowell Cunningham",NA
